,code,voivodeship,year,age,rate
110,3000000,WIELKOPOLSKIE,2016,total,
111,3200000,ZACHODNIOPOMORSKIE,2016,total,
112,200000,DOLNOŚLĄSKIE,2017,total,
113,400000,KUJAWSKO-POMORSKIE,2017,total,
114,600000,LUBELSKIE,2017,total,
115,800000,LUBUSKIE,2017,total,
116,1000000,ŁÓDZKIE,2017,total,
117,1200000,MAŁOPOLSKIE,2017,total,
118,1400000,MAZOWIECKIE,2017,total,
119,1600000,OPOLSKIE,2017,total,
120,1800000,PODKARPACKIE,2017,total,
121,2000000,PODLASKIE,2017,total,
122,2200000,POMORSKIE,2017,total,
123,2400000,ŚLĄSKIE,2017,total,
124,2600000,ŚWIĘTOKRZYSKIE,2017,total,
125,2800000,WARMIŃSKO-MAZURSKIE,2017,total,
126,3000000,WIELKOPOLSKIE,2017,total,
127,3200000,ZACHODNIOPOMORSKIE,2017,total,
128,200000,DOLNOŚLĄSKIE,2018,total,
129,400000,KUJAWSKO-POMORSKIE,2018,total,
130,600000,LUBELSKIE,2018,total,
131,800000,LUBUSKIE,2018,total,
132,1000000,ŁÓDZKIE,2018,total,
133,1200000,MAŁOPOLSKIE,2018,total,
134,1400000,MAZOWIECKIE,2018,total,
135,1600000,OPOLSKIE,2018,total,
136,1800000,PODKARPACKIE,2018,total,
137,2000000,PODLASKIE,2018,total,
138,2200000,POMORSKIE,2018,total,
139,2400000,ŚLĄSKIE,2018,total,
140,2600000,ŚWIĘTOKRZYSKIE,2018,total,
141,2800000,WARMIŃSKO-MAZURSKIE,2018,total,
142,3000000,WIELKOPOLSKIE,2018,total,
143,3200000,ZACHODNIOPOMORSKIE,2018,total,
144,200000,DOLNOŚLĄSKIE,2019,total,56.6
145,400000,KUJAWSKO-POMORSKIE,2019,total,53.5
146,600000,LUBELSKIE,2019,total,50.4
147,800000,LUBUSKIE,2019,total,54.5
148,1000000,ŁÓDZKIE,2019,total,53.3
149,1200000,MAŁOPOLSKIE,2019,total,53.5
150,1400000,MAZOWIECKIE,2019,total,59.0
151,1600000,OPOLSKIE,2019,total,54.1
152,1800000,PODKARPACKIE,2019,total,48.6
153,2000000,PODLASKIE,2019,total,53.9
154,2200000,POMORSKIE,2019,total,58.1
155,2400000,ŚLĄSKIE,2019,total,52.2
156,2600000,ŚWIĘTOKRZYSKIE,2019,total,49.3
157,2800000,WARMIŃSKO-MAZURSKIE,2019,total,50.7
158,3000000,WIELKOPOLSKIE,2019,total,57.5
159,3200000,ZACHODNIOPOMORSKIE,2019,total,53.0
160,200000,DOLNOŚLĄSKIE,2020,total,56.4
161,400000,KUJAWSKO-POMORSKIE,2020,total,53.7
162,600000,LUBELSKIE,2020,total,50.8
163,800000,LUBUSKIE,2020,total,54.5
164,1000000,ŁÓDZKIE,2020,total,54.3
165,1200000,MAŁOPOLSKIE,2020,total,53.5
166,1400000,MAZOWIECKIE,2020,total,58.6
167,1600000,OPOLSKIE,2020,total,54.4
168,1800000,PODKARPACKIE,2020,total,49.3
169,2000000,PODLASKIE,2020,total,54.1
170,2200000,POMORSKIE,2020,total,57.4
171,2400000,ŚLĄSKIE,2020,total,51.9
172,2600000,ŚWIĘTOKRZYSKIE,2020,total,50.6
173,2800000,WARMIŃSKO-MAZURSKIE,2020,total,51.3
174,3000000,WIELKOPOLSKIE,2020,total,56.9
175,3200000,ZACHODNIOPOMORSKIE,2020,total,53.2
176,200000,DOLNOŚLĄSKIE,2021,total,57.0
177,400000,KUJAWSKO-POMORSKIE,2021,total,55.1
178,600000,LUBELSKIE,2021,total,53.4
179,800000,LUBUSKIE,2021,total,54.9
180,1000000,ŁÓDZKIE,2021,total,55.3
181,1200000,MAŁOPOLSKIE,2021,total,55.4
182,1400000,MAZOWIECKIE,2021,total,60.9
183,1600000,OPOLSKIE,2021,total,57.2
184,1800000,PODKARPACKIE,2021,total,50.3
185,2000000,PODLASKIE,2021,total,56.1
186,2200000,POMORSKIE,2021,total,58.7
187,2400000,ŚLĄSKIE,2021,total,54.1
188,2600000,ŚWIĘTOKRZYSKIE,2021,total,53.0
189,2800000,WARMIŃSKO-MAZURSKIE,2021,total,53.5
190,3000000,WIELKOPOLSKIE,2021,total,59.5
191,3200000,ZACHODNIOPOMORSKIE,2021,total,54.0
192,200000,DOLNOŚLĄSKIE,2022,total,57.2
193,400000,KUJAWSKO-POMORSKIE,2022,total,56.1
194,600000,LUBELSKIE,2022,total,54.4
195,800000,LUBUSKIE,2022,total,55.8
196,1000000,ŁÓDZKIE,2022,total,57.1
197,1200000,MAŁOPOLSKIE,2022,total,55.6
198,1400000,MAZOWIECKIE,2022,total,61.4
199,1600000,OPOLSKIE,2022,total,56.1
200,1800000,PODKARPACKIE,2022,total,50.2
201,2000000,PODLASKIE,2022,total,57.1
202,2200000,POMORSKIE,2022,total,59.3
203,2400000,ŚLĄSKIE,2022,total,54.7
204,2600000,ŚWIĘTOKRZYSKIE,2022,total,53.9
205,2800000,WARMIŃSKO-MAZURSKIE,2022,total,53.7
206,3000000,WIELKOPOLSKIE,2022,total,59.3
207,3200000,ZACHODNIOPOMORSKIE,2022,total,55.5
208,200000,DOLNOŚLĄSKIE,2023,total,58.2
209,400000,KUJAWSKO-POMORSKIE,2023,total,55.9
210,600000,LUBELSKIE,2023,total,54.3
211,800000,LUBUSKIE,2023,total,56.7
212,1000000,ŁÓDZKIE,2023,total,56.1
213,1200000,MAŁOPOLSKIE,2023,total,56.2
214,1400000,MAZOWIECKIE,2023,total,62.0
215,1600000,OPOLSKIE,2023,total,55.9
216,1800000,PODKARPACKIE,2023,total,51.4
217,2000000,PODLASKIE,2023,total,57.1
218,2200000,POMORSKIE,2023,total,59.4
219,2400000,ŚLĄSKIE,2023,total,55.2
220,2600000,ŚWIĘTOKRZYSKIE,2023,total,53.2
221,2800000,WARMIŃSKO-MAZURSKIE,2023,total,53.8
222,3000000,WIELKOPOLSKIE,2023,total,58.8
223,3200000,ZACHODNIOPOMORSKIE,2023,total,56.0
224,200000,DOLNOŚLĄSKIE,2024,total,58.2
225,400000,KUJAWSKO-POMORSKIE,2024,total,56.2
226,600000,LUBELSKIE,2024,total,54.5
227,800000,LUBUSKIE,2024,total,55.6
228,1000000,ŁÓDZKIE,2024,total,55.0
229,1200000,MAŁOPOLSKIE,2024,total,56.9
230,1400000,MAZOWIECKIE,2024,total,61.9
231,1600000,OPOLSKIE,2024,total,56.2
232,1800000,PODKARPACKIE,2024,total,51.2
233,2000000,PODLASKIE,2024,total,55.5
234,2200000,POMORSKIE,2024,total,59.2
235,2400000,ŚLĄSKIE,2024,total,54.6
236,2600000,ŚWIĘTOKRZYSKIE,2024,total,52.8
237,2800000,WARMIŃSKO-MAZURSKIE,2024,total,53.6
238,3000000,WIELKOPOLSKIE,2024,total,58.5
239,3200000,ZACHODNIOPOMORSKIE,2024,total,55.5
240,200000,DOLNOŚLĄSKIE,2010,15-29,
241,400000,KUJAWSKO-POMORSKIE,2010,15-29,
242,600000,LUBELSKIE,2010,15-29,
243,800000,LUBUSKIE,2010,15-29,
244,1000000,ŁÓDZKIE,2010,15-29,
245,1200000,MAŁOPOLSKIE,2010,15-29,
246,1400000,MAZOWIECKIE,2010,15-29,
247,1600000,OPOLSKIE,2010,15-29,
248,1800000,PODKARPACKIE,2010,15-29,
249,2000000,PODLASKIE,2010,15-29,
250,2200000,POMORSKIE,2010,15-29,
251,2400000,ŚLĄSKIE,2010,15-29,
252,2600000,ŚWIĘTOKRZYSKIE,2010,15-29,
253,2800000,WARMIŃSKO-MAZURSKIE,2010,15-29,
254,3000000,WIELKOPOLSKIE,2010,15-29,
255,3200000,ZACHODNIOPOMORSKIE,2010,15-29,
256,200000,DOLNOŚLĄSKIE,2011,15-29,
257,400000,KUJAWSKO-POMORSKIE,2011,15-29,
258,600000,LUBELSKIE,2011,15-29,
259,800000,LUBUSKIE,2011,15-29,
260,1000000,ŁÓDZKIE,2011,15-29,
261,1200000,MAŁOPOLSKIE,2011,15-29,
262,1400000,MAZOWIECKIE,2011,15-29,
263,1600000,OPOLSKIE,2011,15-29,
264,1800000,PODKARPACKIE,2011,15-29,
265,2000000,PODLASKIE,2011,15-29,
266,2200000,POMORSKIE,2011,15-29,
267,2400000,ŚLĄSKIE,2011,15-29,
268,2600000,ŚWIĘTOKRZYSKIE,2011,15-29,
269,2800000,WARMIŃSKO-MAZURSKIE,2011,15-29,
270,3000000,WIELKOPOLSKIE,2011,15-29,
271,3200000,ZACHODNIOPOMORSKIE,2011,15-29,
272,200000,DOLNOŚLĄSKIE,2012,15-29,
273,400000,KUJAWSKO-POMORSKIE,2012,15-29,
274,600000,LUBELSKIE,2012,15-29,
275,800000,LUBUSKIE,2012,15-29,
276,1000000,ŁÓDZKIE,2012,15-29,
277,1200000,MAŁOPOLSKIE,2012,15-29,
278,1400000,MAZOWIECKIE,2012,15-29,
279,1600000,OPOLSKIE,2012,15-29,
280,1800000,PODKARPACKIE,2012,15-29,
281,2000000,PODLASKIE,2012,15-29,
282,2200000,POMORSKIE,2012,15-29,
283,2400000,ŚLĄSKIE,2012,15-29,
284,2600000,ŚWIĘTOKRZYSKIE,2012,15-29,
285,2800000,WARMIŃSKO-MAZURSKIE,2012,15-29,
286,3000000,WIELKOPOLSKIE,2012,15-29,
287,3200000,ZACHODNIOPOMORSKIE,2012,15-29,
288,200000,DOLNOŚLĄSKIE,2013,15-29,
289,400000,KUJAWSKO-POMORSKIE,2013,15-29,
290,600000,LUBELSKIE,2013,15-29,
291,800000,LUBUSKIE,2013,15-29,
292,1000000,ŁÓDZKIE,2013,15-29,
293,1200000,MAŁOPOLSKIE,2013,15-29,
294,1400000,MAZOWIECKIE,2013,15-29,
295,1600000,OPOLSKIE,2013,15-29,
296,1800000,PODKARPACKIE,2013,15-29,
297,2000000,PODLASKIE,2013,15-29,
298,2200000,POMORSKIE,2013,15-29,
299,2400000,ŚLĄSKIE,2013,15-29,
300,2600000,ŚWIĘTOKRZYSKIE,2013,15-29,
301,2800000,WARMIŃSKO-MAZURSKIE,2013,15-29,
302,3000000,WIELKOPOLSKIE,2013,15-29,
303,3200000,ZACHODNIOPOMORSKIE,2013,15-29,
304,200000,DOLNOŚLĄSKIE,2014,15-29,
305,400000,KUJAWSKO-POMORSKIE,2014,15-29,
306,600000,LUBELSKIE,2014,15-29,
307,800000,LUBUSKIE,2014,15-29,
308,1000000,ŁÓDZKIE,2014,15-29,
309,1200000,MAŁOPOLSKIE,2014,15-29,
310,1400000,MAZOWIECKIE,2014,15-29,
311,1600000,OPOLSKIE,2014,15-29,
312,1800000,PODKARPACKIE,2014,15-29,
313,2000000,PODLASKIE,2014,15-29,
314,2200000,POMORSKIE,2014,15-29,
315,2400000,ŚLĄSKIE,2014,15-29,
316,2600000,ŚWIĘTOKRZYSKIE,2014,15-29,
317,2800000,WARMIŃSKO-MAZURSKIE,2014,15-29,
318,3000000,WIELKOPOLSKIE,2014,15-29,
319,3200000,ZACHODNIOPOMORSKIE,2014,15-29,
320,200000,DOLNOŚLĄSKIE,2015,15-29,
321,400000,KUJAWSKO-POMORSKIE,2015,15-29,
322,600000,LUBELSKIE,2015,15-29,
323,800000,LUBUSKIE,2015,15-29,
324,1000000,ŁÓDZKIE,2015,15-29,
325,1200000,MAŁOPOLSKIE,2015,15-29,
326,1400000,MAZOWIECKIE,2015,15-29,
327,1600000,OPOLSKIE,2015,15-29,
328,1800000,PODKARPACKIE,2015,15-29,
329,2000000,PODLASKIE,2015,15-29,
330,2200000,POMORSKIE,2015,15-29,
331,2400000,ŚLĄSKIE,2015,15-29,
332,2600000,ŚWIĘTOKRZYSKIE,2015,15-29,
333,2800000,WARMIŃSKO-MAZURSKIE,2015,15-29,
334,3000000,WIELKOPOLSKIE,2015,15-29,
335,3200000,ZACHODNIOPOMORSKIE,2015,15-29,
336,200000,DOLNOŚLĄSKIE,2016,15-29,
337,400000,KUJAWSKO-POMORSKIE,2016,15-29,
338,600000,LUBELSKIE,2016,15-29,
339,800000,LUBUSKIE,2016,15-29,
340,1000000,ŁÓDZKIE,2016,15-29,
341,1200000,MAŁOPOLSKIE,2016,15-29,
342,1400000,MAZOWIECKIE,2016,15-29,
343,1600000,OPOLSKIE,2016,15-29,
344,1800000,PODKARPACKIE,2016,15-29,
345,2000000,PODLASKIE,2016,15-29,
346,2200000,POMORSKIE,2016,15-29,
347,2400000,ŚLĄSKIE,2016,15-29,
348,2600000,ŚWIĘTOKRZYSKIE,2016,15-29,
349,2800000,WARMIŃSKO-MAZURSKIE,2016,15-29,
350,3000000,WIELKOPOLSKIE,2016,15-29,
351,3200000,ZACHODNIOPOMORSKIE,2016,15-29,
352,200000,DOLNOŚLĄSKIE,2017,15-29,
353,400000,KUJAWSKO-POMORSKIE,2017,15-29,
354,600000,LUBELSKIE,2017,15-29,
355,800000,LUBUSKIE,2017,15-29,
356,1000000,ŁÓDZKIE,2017,15-29,
357,1200000,MAŁOPOLSKIE,2017,15-29,
358,1400000,MAZOWIECKIE,2017,15-29,
359,1600000,OPOLSKIE,2017,15-29,
360,1800000,PODKARPACKIE,2017,15-29,
361,2000000,PODLASKIE,2017,15-29,
362,2200000,POMORSKIE,2017,15-29,
363,2400000,ŚLĄSKIE,2017,15-29,
364,2600000,ŚWIĘTOKRZYSKIE,2017,15-29,
365,2800000,WARMIŃSKO-MAZURSKIE,2017,15-29,
366,3000000,WIELKOPOLSKIE,2017,15-29,
367,3200000,ZACHODNIOPOMORSKIE,2017,15-29,
368,200000,DOLNOŚLĄSKIE,2018,15-29,
369,400000,KUJAWSKO-POMORSKIE,2018,15-29,
370,600000,LUBELSKIE,2018,15-29,
371,800000,LUBUSKIE,2018,15-29,
372,1000000,ŁÓDZKIE,2018,15-29,
373,1200000,MAŁOPOLSKIE,2018,15-29,
374,1400000,MAZOWIECKIE,2018,15-29,
375,1600000,OPOLSKIE,2018,15-29,
376,1800000,PODKARPACKIE,2018,15-29,
377,2000000,PODLASKIE,2018,15-29,
378,2200000,POMORSKIE,2018,15-29,
379,2400000,ŚLĄSKIE,2018,15-29,
380,2600000,ŚWIĘTOKRZYSKIE,2018,15-29,
381,2800000,WARMIŃSKO-MAZURSKIE,2018,15-29,
382,3000000,WIELKOPOLSKIE,2018,15-29,
383,3200000,ZACHODNIOPOMORSKIE,2018,15-29,
384,200000,DOLNOŚLĄSKIE,2019,15-29,55.2
385,400000,KUJAWSKO-POMORSKIE,2019,15-29,49.8
386,600000,LUBELSKIE,2019,15-29,43.1
387,800000,LUBUSKIE,2019,15-29,47.7
388,1000000,ŁÓDZKIE,2019,15-29,49.2
389,1200000,MAŁOPOLSKIE,2019,15-29,51.3
390,1400000,MAZOWIECKIE,2019,15-29,53.7
391,1600000,OPOLSKIE,2019,15-29,51.8
392,1800000,PODKARPACKIE,2019,15-29,43.3
393,2000000,PODLASKIE,2019,15-29,47.3
394,2200000,POMORSKIE,2019,15-29,54.4
395,2400000,ŚLĄSKIE,2019,15-29,53.4
396,2600000,ŚWIĘTOKRZYSKIE,2019,15-29,43.9
397,2800000,WARMIŃSKO-MAZURSKIE,2019,15-29,44.4
398,3000000,WIELKOPOLSKIE,2019,15-29,55.4
399,3200000,ZACHODNIOPOMORSKIE,2019,15-29,47.0
400,200000,DOLNOŚLĄSKIE,2020,15-29,51.6
401,400000,KUJAWSKO-POMORSKIE,2020,15-29,47.6
402,600000,LUBELSKIE,2020,15-29,40.4
403,800000,LUBUSKIE,2020,15-29,47.0
404,1000000,ŁÓDZKIE,2020,15-29,48.9
405,1200000,MAŁOPOLSKIE,2020,15-29,48.0
406,1400000,MAZOWIECKIE,2020,15-29,50.6
407,1600000,OPOLSKIE,2020,15-29,47.8
408,1800000,PODKARPACKIE,2020,15-29,39.8
409,2000000,PODLASKIE,2020,15-29,46.7
410,2200000,POMORSKIE,2020,15-29,49.7
411,2400000,ŚLĄSKIE,2020,15-29,49.8
412,2600000,ŚWIĘTOKRZYSKIE,2020,15-29,43.3
413,2800000,WARMIŃSKO-MAZURSKIE,2020,15-29,42.0
414,3000000,WIELKOPOLSKIE,2020,15-29,51.8
415,3200000,ZACHODNIOPOMORSKIE,2020,15-29,44.7
416,200000,DOLNOŚLĄSKIE,2021,15-29,50.4
417,400000,KUJAWSKO-POMORSKIE,2021,15-29,44.0
418,600000,LUBELSKIE,2021,15-29,43.4
419,800000,LUBUSKIE,2021,15-29,46.9
420,1000000,ŁÓDZKIE,2021,15-29,47.0
421,1200000,MAŁOPOLSKIE,2021,15-29,45.9
422,1400000,MAZOWIECKIE,2021,15-29,51.2
423,1600000,OPOLSKIE,2021,15-29,52.4
424,1800000,PODKARPACKIE,2021,15-29,39.3
425,2000000,PODLASKIE,2021,15-29,44.1
426,2200000,POMORSKIE,2021,15-29,51.0
427,2400000,ŚLĄSKIE,2021,15-29,49.9
428,2600000,ŚWIĘTOKRZYSKIE,2021,15-29,43.8
429,2800000,WARMIŃSKO-MAZURSKIE,2021,15-29,42.9
430,3000000,WIELKOPOLSKIE,2021,15-29,56.7
431,3200000,ZACHODNIOPOMORSKIE,2021,15-29,45.0
432,200000,DOLNOŚLĄSKIE,2022,15-29,49.1
433,400000,KUJAWSKO-POMORSKIE,2022,15-29,45.1
434,600000,LUBELSKIE,2022,15-29,46.0
435,800000,LUBUSKIE,2022,15-29,46.5
436,1000000,ŁÓDZKIE,2022,15-29,51.8
437,1200000,MAŁOPOLSKIE,2022,15-29,48.3
438,1400000,MAZOWIECKIE,2022,15-29,51.8
439,1600000,OPOLSKIE,2022,15-29,47.8
440,1800000,PODKARPACKIE,2022,15-29,40.5
441,2000000,PODLASKIE,2022,15-29,47.7
442,2200000,POMORSKIE,2022,15-29,46.4
443,2400000,ŚLĄSKIE,2022,15-29,49.9
444,2600000,ŚWIĘTOKRZYSKIE,2022,15-29,45.2
445,2800000,WARMIŃSKO-MAZURSKIE,2022,15-29,42.0
446,3000000,WIELKOPOLSKIE,2022,15-29,53.3
447,3200000,ZACHODNIOPOMORSKIE,2022,15-29,44.5
448,200000,DOLNOŚLĄSKIE,2023,15-29,53.3
449,400000,KUJAWSKO-POMORSKIE,2023,15-29,43.4
450,600000,LUBELSKIE,2023,15-29,46.6
451,800000,LUBUSKIE,2023,15-29,46.1
452,1000000,ŁÓDZKIE,2023,15-29,51.7
453,1200000,MAŁOPOLSKIE,2023,15-29,49.9
454,1400000,MAZOWIECKIE,2023,15-29,52.3
455,1600000,OPOLSKIE,2023,15-29,48.8
456,1800000,PODKARPACKIE,2023,15-29,41.7
457,2000000,PODLASKIE,2023,15-29,47.4
458,2200000,POMORSKIE,2023,15-29,47.4
459,2400000,ŚLĄSKIE,2023,15-29,51.0
460,2600000,ŚWIĘTOKRZYSKIE,2023,15-29,43.8
461,2800000,WARMIŃSKO-MAZURSKIE,2023,15-29,44.4
462,3000000,WIELKOPOLSKIE,2023,15-29,51.3
463,3200000,ZACHODNIOPOMORSKIE,2023,15-29,46.0
464,200000,DOLNOŚLĄSKIE,2024,15-29,53.0
465,400000,KUJAWSKO-POMORSKIE,2024,15-29,47.9
466,600000,LUBELSKIE,2024,15-29,45.5
467,800000,LUBUSKIE,2024,15-29,45.4
468,1000000,ŁÓDZKIE,2024,15-29,47.4
469,1200000,MAŁOPOLSKIE,2024,15-29,50.3
470,1400000,MAZOWIECKIE,2024,15-29,51.7
471,1600000,OPOLSKIE,2024,15-29,47.1
472,1800000,PODKARPACKIE,2024,15-29,38.1
473,2000000,PODLASKIE,2024,15-29,43.1
474,2200000,POMORSKIE,2024,15-29,50.1
475,2400000,ŚLĄSKIE,2024,15-29,46.3
476,2600000,ŚWIĘTOKRZYSKIE,2024,15-29,43.5
477,2800000,WARMIŃSKO-MAZURSKIE,2024,15-29,43.9
478,3000000,WIELKOPOLSKIE,2024,15-29,50.3
479,3200000,ZACHODNIOPOMORSKIE,2024,15-29,45.6
480,200000,DOLNOŚLĄSKIE,2010,30-39,
481,400000,KUJAWSKO-POMORSKIE,2010,30-39,
482,600000,LUBELSKIE,2010,30-39,
483,800000,LUBUSKIE,2010,30-39,
484,1000000,ŁÓDZKIE,2010,30-39,
485,1200000,MAŁOPOLSKIE,2010,30-39,
486,1400000,MAZOWIECKIE,2010,30-39,
487,1600000,OPOLSKIE,2010,30-39,
488,1800000,PODKARPACKIE,2010,30-39,
489,2000000,PODLASKIE,2010,30-39,
490,2200000,POMORSKIE,2010,30-39,
491,2400000,ŚLĄSKIE,2010,30-39,
492,2600000,ŚWIĘTOKRZYSKIE,2010,30-39,
493,2800000,WARMIŃSKO-MAZURSKIE,2010,30-39,
494,3000000,WIELKOPOLSKIE,2010,30-39,
495,3200000,ZACHODNIOPOMORSKIE,2010,30-39,
496,200000,DOLNOŚLĄSKIE,2011,30-39,
497,400000,KUJAWSKO-POMORSKIE,2011,30-39,
498,600000,LUBELSKIE,2011,30-39,
499,800000,LUBUSKIE,2011,30-39,
500,1000000,ŁÓDZKIE,2011,30-39,
501,1200000,MAŁOPOLSKIE,2011,30-39,
502,1400000,MAZOWIECKIE,2011,30-39,
503,1600000,OPOLSKIE,2011,30-39,
504,1800000,PODKARPACKIE,2011,30-39,
505,2000000,PODLASKIE,2011,30-39,
506,2200000,POMORSKIE,2011,30-39,
507,2400000,ŚLĄSKIE,2011,30-39,
508,2600000,ŚWIĘTOKRZYSKIE,2011,30-39,
509,2800000,WARMIŃSKO-MAZURSKIE,2011,30-39,
510,3000000,WIELKOPOLSKIE,2011,30-39,
511,3200000,ZACHODNIOPOMORSKIE,2011,30-39,
512,200000,DOLNOŚLĄSKIE,2012,30-39,
513,400000,KUJAWSKO-POMORSKIE,2012,30-39,
514,600000,LUBELSKIE,2012,30-39,
515,800000,LUBUSKIE,2012,30-39,
516,1000000,ŁÓDZKIE,2012,30-39,
517,1200000,MAŁOPOLSKIE,2012,30-39,
518,1400000,MAZOWIECKIE,2012,30-39,
519,1600000,OPOLSKIE,2012,30-39,
520,1800000,PODKARPACKIE,2012,30-39,
521,2000000,PODLASKIE,2012,30-39,
522,2200000,POMORSKIE,2012,30-39,
523,2400000,ŚLĄSKIE,2012,30-39,
524,2600000,ŚWIĘTOKRZYSKIE,2012,30-39,
525,2800000,WARMIŃSKO-MAZURSKIE,2012,30-39,
526,3000000,WIELKOPOLSKIE,2012,30-39,
527,3200000,ZACHODNIOPOMORSKIE,2012,30-39,
528,200000,DOLNOŚLĄSKIE,2013,30-39,
529,400000,KUJAWSKO-POMORSKIE,2013,30-39,
