,code,voivodeship,year,age,rate
44,2600000,ŚWIĘTOKRZYSKIE,2012,total,54.1
45,2800000,WARMIŃSKO-MAZURSKIE,2012,total,50.9
46,3000000,WIELKOPOLSKIE,2012,total,56.9
47,3200000,ZACHODNIOPOMORSKIE,2012,total,51.8
48,200000,DOLNOŚLĄSKIE,2013,total,54.0
49,400000,KUJAWSKO-POMORSKIE,2013,total,55.3
50,600000,LUBELSKIE,2013,total,53.9
51,800000,LUBUSKIE,2013,total,54.0
52,1000000,ŁÓDZKIE,2013,total,56.2
53,1200000,MAŁOPOLSKIE,2013,total,52.1
54,1400000,MAZOWIECKIE,2013,total,59.1
55,1600000,OPOLSKIE,2013,total,53.4
56,1800000,PODKARPACKIE,2013,total,49.8
57,2000000,PODLASKIE,2013,total,54.2
58,2200000,POMORSKIE,2013,total,55.9
59,2400000,ŚLĄSKIE,2013,total,53.6
60,2600000,ŚWIĘTOKRZYSKIE,2013,total,52.7
61,2800000,WARMIŃSKO-MAZURSKIE,2013,total,51.4
62,3000000,WIELKOPOLSKIE,2013,total,57.5
63,3200000,ZACHODNIOPOMORSKIE,2013,total,52.4
64,200000,DOLNOŚLĄSKIE,2014,total,55.2
65,400000,KUJAWSKO-POMORSKIE,2014,total,54.9
66,600000,LUBELSKIE,2014,total,54.5
67,800000,LUBUSKIE,2014,total,53.7
68,1000000,ŁÓDZKIE,2014,total,57.0
69,1200000,MAŁOPOLSKIE,2014,total,52.6
70,1400000,MAZOWIECKIE,2014,total,61.0
71,1600000,OPOLSKIE,2014,total,53.8
72,1800000,PODKARPACKIE,2014,total,49.5
73,2000000,PODLASKIE,2014,total,54.7
74,2200000,POMORSKIE,2014,total,55.6
75,2400000,ŚLĄSKIE,2014,total,53.8
76,2600000,ŚWIĘTOKRZYSKIE,2014,total,52.4
77,2800000,WARMIŃSKO-MAZURSKIE,2014,total,50.8
78,3000000,WIELKOPOLSKIE,2014,total,57.4
79,3200000,ZACHODNIOPOMORSKIE,2014,total,52.7
80,200000,DOLNOŚLĄSKIE,2015,total,55.5
81,400000,KUJAWSKO-POMORSKIE,2015,total,55.1
82,600000,LUBELSKIE,2015,total,54.7
83,800000,LUBUSKIE,2015,total,54.5
84,1000000,ŁÓDZKIE,2015,total,56.2
85,1200000,MAŁOPOLSKIE,2015,total,52.5
86,1400000,MAZOWIECKIE,2015,total,60.7
87,1600000,OPOLSKIE,2015,total,54.2
88,1800000,PODKARPACKIE,2015,total,49.6
89,2000000,PODLASKIE,2015,total,54.1
90,2200000,POMORSKIE,2015,total,57.4
91,2400000,ŚLĄSKIE,2015,total,53.1
92,2600000,ŚWIĘTOKRZYSKIE,2015,total,53.4
93,2800000,WARMIŃSKO-MAZURSKIE,2015,total,51.9
94,3000000,WIELKOPOLSKIE,2015,total,57.5
95,3200000,ZACHODNIOPOMORSKIE,2015,total,52.1
96,200000,DOLNOŚLĄSKIE,2016,total,56.8
97,400000,KUJAWSKO-POMORSKIE,2016,total,55.4
98,600000,LUBELSKIE,2016,total,53.8
99,800000,LUBUSKIE,2016,total,55.7
100,1000000,ŁÓDZKIE,2016,total,56.1
101,1200000,MAŁOPOLSKIE,2016,total,53.4
102,1400000,MAZOWIECKIE,2016,total,59.5
103,1600000,OPOLSKIE,2016,total,54.7
104,1800000,PODKARPACKIE,2016,total,52.2
105,2000000,PODLASKIE,2016,total,55.2
106,2200000,POMORSKIE,2016,total,57.9
107,2400000,ŚLĄSKIE,2016,total,53.6
108,2600000,ŚWIĘTOKRZYSKIE,2016,total,53.4
109,2800000,WARMIŃSKO-MAZURSKIE,2016,total,53.4
110,3000000,WIELKOPOLSKIE,2016,total,58.0
111,3200000,ZACHODNIOPOMORSKIE,2016,total,53.5
112,200000,DOLNOŚLĄSKIE,2017,total,56.4
113,400000,KUJAWSKO-POMORSKIE,2017,total,54.9
114,600000,LUBELSKIE,2017,total,53.9
115,800000,LUBUSKIE,2017,total,55.7
116,1000000,ŁÓDZKIE,2017,total,57.2
117,1200000,MAŁOPOLSKIE,2017,total,53.7
118,1400000,MAZOWIECKIE,2017,total,60.2
119,1600000,OPOLSKIE,2017,total,55.9
120,1800000,PODKARPACKIE,2017,total,52.9
121,2000000,PODLASKIE,2017,total,55.6
122,2200000,POMORSKIE,2017,total,58.4
123,2400000,ŚLĄSKIE,2017,total,53.7
124,2600000,ŚWIĘTOKRZYSKIE,2017,total,53.1
125,2800000,WARMIŃSKO-MAZURSKIE,2017,total,53.9
126,3000000,WIELKOPOLSKIE,2017,total,59.1
127,3200000,ZACHODNIOPOMORSKIE,2017,total,53.6
128,200000,DOLNOŚLĄSKIE,2018,total,56.5
129,400000,KUJAWSKO-POMORSKIE,2018,total,55.3
130,600000,LUBELSKIE,2018,total,54.7
131,800000,LUBUSKIE,2018,total,55.3
132,1000000,ŁÓDZKIE,2018,total,57.3
133,1200000,MAŁOPOLSKIE,2018,total,53.9
134,1400000,MAZOWIECKIE,2018,total,60.7
135,1600000,OPOLSKIE,2018,total,56.0
136,1800000,PODKARPACKIE,2018,total,51.3
137,2000000,PODLASKIE,2018,total,56.0
138,2200000,POMORSKIE,2018,total,58.0
139,2400000,ŚLĄSKIE,2018,total,53.6
140,2600000,ŚWIĘTOKRZYSKIE,2018,total,51.8
141,2800000,WARMIŃSKO-MAZURSKIE,2018,total,53.1
142,3000000,WIELKOPOLSKIE,2018,total,59.0
143,3200000,ZACHODNIOPOMORSKIE,2018,total,55.0
144,200000,DOLNOŚLĄSKIE,2019,total,58.5
145,400000,KUJAWSKO-POMORSKIE,2019,total,55.7
146,600000,LUBELSKIE,2019,total,53.4
147,800000,LUBUSKIE,2019,total,55.6
148,1000000,ŁÓDZKIE,2019,total,55.4
149,1200000,MAŁOPOLSKIE,2019,total,55.1
150,1400000,MAZOWIECKIE,2019,total,60.9
151,1600000,OPOLSKIE,2019,total,55.9
152,1800000,PODKARPACKIE,2019,total,51.3
153,2000000,PODLASKIE,2019,total,55.5
154,2200000,POMORSKIE,2019,total,59.7
155,2400000,ŚLĄSKIE,2019,total,53.5
156,2600000,ŚWIĘTOKRZYSKIE,2019,total,51.5
157,2800000,WARMIŃSKO-MAZURSKIE,2019,total,52.5
158,3000000,WIELKOPOLSKIE,2019,total,59.0
159,3200000,ZACHODNIOPOMORSKIE,2019,total,54.7
160,200000,DOLNOŚLĄSKIE,2020,total,58.2
161,400000,KUJAWSKO-POMORSKIE,2020,total,55.4
162,600000,LUBELSKIE,2020,total,53.8
163,800000,LUBUSKIE,2020,total,55.8
164,1000000,ŁÓDZKIE,2020,total,56.0
165,1200000,MAŁOPOLSKIE,2020,total,55.0
166,1400000,MAZOWIECKIE,2020,total,60.7
167,1600000,OPOLSKIE,2020,total,56.0
168,1800000,PODKARPACKIE,2020,total,51.6
169,2000000,PODLASKIE,2020,total,55.7
170,2200000,POMORSKIE,2020,total,59.3
171,2400000,ŚLĄSKIE,2020,total,53.4
172,2600000,ŚWIĘTOKRZYSKIE,2020,total,52.9
173,2800000,WARMIŃSKO-MAZURSKIE,2020,total,53.0
174,3000000,WIELKOPOLSKIE,2020,total,58.0
175,3200000,ZACHODNIOPOMORSKIE,2020,total,55.0
176,200000,DOLNOŚLĄSKIE,2021,total,59.4
177,400000,KUJAWSKO-POMORSKIE,2021,total,57.7
178,600000,LUBELSKIE,2021,total,56.4
179,800000,LUBUSKIE,2021,total,56.0
180,1000000,ŁÓDZKIE,2021,total,57.9
181,1200000,MAŁOPOLSKIE,2021,total,57.3
182,1400000,MAZOWIECKIE,2021,total,62.6
183,1600000,OPOLSKIE,2021,total,58.9
184,1800000,PODKARPACKIE,2021,total,52.8
185,2000000,PODLASKIE,2021,total,57.9
186,2200000,POMORSKIE,2021,total,60.1
187,2400000,ŚLĄSKIE,2021,total,55.8
188,2600000,ŚWIĘTOKRZYSKIE,2021,total,55.5
189,2800000,WARMIŃSKO-MAZURSKIE,2021,total,55.4
190,3000000,WIELKOPOLSKIE,2021,total,60.9
191,3200000,ZACHODNIOPOMORSKIE,2021,total,56.0
192,200000,DOLNOŚLĄSKIE,2022,total,59.3
193,400000,KUJAWSKO-POMORSKIE,2022,total,58.4
194,600000,LUBELSKIE,2022,total,57.1
195,800000,LUBUSKIE,2022,total,56.7
196,1000000,ŁÓDZKIE,2022,total,59.1
197,1200000,MAŁOPOLSKIE,2022,total,57.0
198,1400000,MAZOWIECKIE,2022,total,63.0
199,1600000,OPOLSKIE,2022,total,57.6
200,1800000,PODKARPACKIE,2022,total,52.7
201,2000000,PODLASKIE,2022,total,58.5
202,2200000,POMORSKIE,2022,total,60.5
203,2400000,ŚLĄSKIE,2022,total,55.9
204,2600000,ŚWIĘTOKRZYSKIE,2022,total,56.1
205,2800000,WARMIŃSKO-MAZURSKIE,2022,total,55.5
206,3000000,WIELKOPOLSKIE,2022,total,60.6
207,3200000,ZACHODNIOPOMORSKIE,2022,total,56.8
208,200000,DOLNOŚLĄSKIE,2023,total,60.0
209,400000,KUJAWSKO-POMORSKIE,2023,total,58.1
210,600000,LUBELSKIE,2023,total,56.5
211,800000,LUBUSKIE,2023,total,57.7
212,1000000,ŁÓDZKIE,2023,total,58.4
213,1200000,MAŁOPOLSKIE,2023,total,57.6
214,1400000,MAZOWIECKIE,2023,total,63.5
215,1600000,OPOLSKIE,2023,total,57.5
216,1800000,PODKARPACKIE,2023,total,53.7
217,2000000,PODLASKIE,2023,total,58.6
218,2200000,POMORSKIE,2023,total,60.6
219,2400000,ŚLĄSKIE,2023,total,56.7
220,2600000,ŚWIĘTOKRZYSKIE,2023,total,55.3
221,2800000,WARMIŃSKO-MAZURSKIE,2023,total,55.2
222,3000000,WIELKOPOLSKIE,2023,total,60.5
223,3200000,ZACHODNIOPOMORSKIE,2023,total,57.3
224,200000,DOLNOŚLĄSKIE,2024,total,60.2
225,400000,KUJAWSKO-POMORSKIE,2024,total,58.6
226,600000,LUBELSKIE,2024,total,56.3
227,800000,LUBUSKIE,2024,total,56.6
228,1000000,ŁÓDZKIE,2024,total,56.9
229,1200000,MAŁOPOLSKIE,2024,total,58.3
230,1400000,MAZOWIECKIE,2024,total,63.8
231,1600000,OPOLSKIE,2024,total,57.5
232,1800000,PODKARPACKIE,2024,total,53.1
233,2000000,PODLASKIE,2024,total,57.2
234,2200000,POMORSKIE,2024,total,60.5
235,2400000,ŚLĄSKIE,2024,total,55.9
236,2600000,ŚWIĘTOKRZYSKIE,2024,total,54.9
237,2800000,WARMIŃSKO-MAZURSKIE,2024,total,55.7
238,3000000,WIELKOPOLSKIE,2024,total,59.9
239,3200000,ZACHODNIOPOMORSKIE,2024,total,57.1
240,200000,DOLNOŚLĄSKIE,2010,15-24,37.5
241,400000,KUJAWSKO-POMORSKIE,2010,15-24,36.2
242,600000,LUBELSKIE,2010,15-24,28.4
243,800000,LUBUSKIE,2010,15-24,35.4
244,1000000,ŁÓDZKIE,2010,15-24,35.8
245,1200000,MAŁOPOLSKIE,2010,15-24,31.8
246,1400000,MAZOWIECKIE,2010,15-24,35.3
247,1600000,OPOLSKIE,2010,15-24,36.9
248,1800000,PODKARPACKIE,2010,15-24,29.0
249,2000000,PODLASKIE,2010,15-24,30.5
250,2200000,POMORSKIE,2010,15-24,36.3
251,2400000,ŚLĄSKIE,2010,15-24,33.8
252,2600000,ŚWIĘTOKRZYSKIE,2010,15-24,33.5
253,2800000,WARMIŃSKO-MAZURSKIE,2010,15-24,30.4
254,3000000,WIELKOPOLSKIE,2010,15-24,41.2
255,3200000,ZACHODNIOPOMORSKIE,2010,15-24,28.8
256,200000,DOLNOŚLĄSKIE,2011,15-24,33.9
257,400000,KUJAWSKO-POMORSKIE,2011,15-24,32.0
258,600000,LUBELSKIE,2011,15-24,31.0
259,800000,LUBUSKIE,2011,15-24,30.9
260,1000000,ŁÓDZKIE,2011,15-24,33.6
261,1200000,MAŁOPOLSKIE,2011,15-24,31.3
262,1400000,MAZOWIECKIE,2011,15-24,35.9
263,1600000,OPOLSKIE,2011,15-24,36.6
264,1800000,PODKARPACKIE,2011,15-24,27.8
265,2000000,PODLASKIE,2011,15-24,29.6
266,2200000,POMORSKIE,2011,15-24,34.0
267,2400000,ŚLĄSKIE,2011,15-24,33.3
268,2600000,ŚWIĘTOKRZYSKIE,2011,15-24,33.0
269,2800000,WARMIŃSKO-MAZURSKIE,2011,15-24,29.1
270,3000000,WIELKOPOLSKIE,2011,15-24,39.0
271,3200000,ZACHODNIOPOMORSKIE,2011,15-24,30.1
272,200000,DOLNOŚLĄSKIE,2012,15-24,33.2
273,400000,KUJAWSKO-POMORSKIE,2012,15-24,35.3
274,600000,LUBELSKIE,2012,15-24,30.5
275,800000,LUBUSKIE,2012,15-24,31.6
276,1000000,ŁÓDZKIE,2012,15-24,31.9
277,1200000,MAŁOPOLSKIE,2012,15-24,32.3
278,1400000,MAZOWIECKIE,2012,15-24,34.5
279,1600000,OPOLSKIE,2012,15-24,37.3
280,1800000,PODKARPACKIE,2012,15-24,28.0
281,2000000,PODLASKIE,2012,15-24,29.4
282,2200000,POMORSKIE,2012,15-24,35.9
283,2400000,ŚLĄSKIE,2012,15-24,33.9
284,2600000,ŚWIĘTOKRZYSKIE,2012,15-24,35.2
285,2800000,WARMIŃSKO-MAZURSKIE,2012,15-24,26.9
286,3000000,WIELKOPOLSKIE,2012,15-24,37.6
287,3200000,ZACHODNIOPOMORSKIE,2012,15-24,30.7
288,200000,DOLNOŚLĄSKIE,2013,15-24,32.5
289,400000,KUJAWSKO-POMORSKIE,2013,15-24,35.4
290,600000,LUBELSKIE,2013,15-24,29.7
291,800000,LUBUSKIE,2013,15-24,30.6
292,1000000,ŁÓDZKIE,2013,15-24,34.4
293,1200000,MAŁOPOLSKIE,2013,15-24,33.0
294,1400000,MAZOWIECKIE,2013,15-24,31.4
295,1600000,OPOLSKIE,2013,15-24,34.4
296,1800000,PODKARPACKIE,2013,15-24,29.9
297,2000000,PODLASKIE,2013,15-24,28.7
298,2200000,POMORSKIE,2013,15-24,32.8
299,2400000,ŚLĄSKIE,2013,15-24,35.5
300,2600000,ŚWIĘTOKRZYSKIE,2013,15-24,34.0
301,2800000,WARMIŃSKO-MAZURSKIE,2013,15-24,27.7
302,3000000,WIELKOPOLSKIE,2013,15-24,38.2
303,3200000,ZACHODNIOPOMORSKIE,2013,15-24,31.1
304,200000,DOLNOŚLĄSKIE,2014,15-24,33.3
305,400000,KUJAWSKO-POMORSKIE,2014,15-24,36.1
306,600000,LUBELSKIE,2014,15-24,28.5
307,800000,LUBUSKIE,2014,15-24,29.2
308,1000000,ŁÓDZKIE,2014,15-24,36.5
309,1200000,MAŁOPOLSKIE,2014,15-24,32.9
310,1400000,MAZOWIECKIE,2014,15-24,36.1
311,1600000,OPOLSKIE,2014,15-24,34.3
312,1800000,PODKARPACKIE,2014,15-24,29.6
313,2000000,PODLASKIE,2014,15-24,27.2
314,2200000,POMORSKIE,2014,15-24,34.3
315,2400000,ŚLĄSKIE,2014,15-24,34.0
316,2600000,ŚWIĘTOKRZYSKIE,2014,15-24,33.1
317,2800000,WARMIŃSKO-MAZURSKIE,2014,15-24,26.9
318,3000000,WIELKOPOLSKIE,2014,15-24,39.7
319,3200000,ZACHODNIOPOMORSKIE,2014,15-24,28.3
320,200000,DOLNOŚLĄSKIE,2015,15-24,32.9
321,400000,KUJAWSKO-POMORSKIE,2015,15-24,34.9
322,600000,LUBELSKIE,2015,15-24,26.1
323,800000,LUBUSKIE,2015,15-24,28.0
324,1000000,ŁÓDZKIE,2015,15-24,34.2
325,1200000,MAŁOPOLSKIE,2015,15-24,31.3
326,1400000,MAZOWIECKIE,2015,15-24,34.4
327,1600000,OPOLSKIE,2015,15-24,32.4
328,1800000,PODKARPACKIE,2015,15-24,27.1
329,2000000,PODLASKIE,2015,15-24,28.9
330,2200000,POMORSKIE,2015,15-24,37.3
331,2400000,ŚLĄSKIE,2015,15-24,31.3
332,2600000,ŚWIĘTOKRZYSKIE,2015,15-24,35.5
333,2800000,WARMIŃSKO-MAZURSKIE,2015,15-24,27.8
334,3000000,WIELKOPOLSKIE,2015,15-24,39.6
335,3200000,ZACHODNIOPOMORSKIE,2015,15-24,29.9
336,200000,DOLNOŚLĄSKIE,2016,15-24,34.9
337,400000,KUJAWSKO-POMORSKIE,2016,15-24,36.6
338,600000,LUBELSKIE,2016,15-24,32.1
339,800000,LUBUSKIE,2016,15-24,33.0
340,1000000,ŁÓDZKIE,2016,15-24,35.7
341,1200000,MAŁOPOLSKIE,2016,15-24,31.5
342,1400000,MAZOWIECKIE,2016,15-24,34.5
343,1600000,OPOLSKIE,2016,15-24,36.4
344,1800000,PODKARPACKIE,2016,15-24,32.0
345,2000000,PODLASKIE,2016,15-24,31.8
346,2200000,POMORSKIE,2016,15-24,36.7
347,2400000,ŚLĄSKIE,2016,15-24,34.0
348,2600000,ŚWIĘTOKRZYSKIE,2016,15-24,34.3
349,2800000,WARMIŃSKO-MAZURSKIE,2016,15-24,34.2
350,3000000,WIELKOPOLSKIE,2016,15-24,37.2
351,3200000,ZACHODNIOPOMORSKIE,2016,15-24,30.8
352,200000,DOLNOŚLĄSKIE,2017,15-24,33.5
353,400000,KUJAWSKO-POMORSKIE,2017,15-24,36.7
354,600000,LUBELSKIE,2017,15-24,32.4
355,800000,LUBUSKIE,2017,15-24,34.7
356,1000000,ŁÓDZKIE,2017,15-24,37.1
357,1200000,MAŁOPOLSKIE,2017,15-24,28.3
358,1400000,MAZOWIECKIE,2017,15-24,34.7
359,1600000,OPOLSKIE,2017,15-24,39.4
360,1800000,PODKARPACKIE,2017,15-24,33.3
361,2000000,PODLASKIE,2017,15-24,32.0
362,2200000,POMORSKIE,2017,15-24,37.4
363,2400000,ŚLĄSKIE,2017,15-24,33.8
364,2600000,ŚWIĘTOKRZYSKIE,2017,15-24,35.4
365,2800000,WARMIŃSKO-MAZURSKIE,2017,15-24,36.4
366,3000000,WIELKOPOLSKIE,2017,15-24,39.3
367,3200000,ZACHODNIOPOMORSKIE,2017,15-24,30.5
368,200000,DOLNOŚLĄSKIE,2018,15-24,35.5
369,400000,KUJAWSKO-POMORSKIE,2018,15-24,36.4
370,600000,LUBELSKIE,2018,15-24,32.2
371,800000,LUBUSKIE,2018,15-24,34.0
372,1000000,ŁÓDZKIE,2018,15-24,38.3
373,1200000,MAŁOPOLSKIE,2018,15-24,32.7
374,1400000,MAZOWIECKIE,2018,15-24,34.3
375,1600000,OPOLSKIE,2018,15-24,38.2
376,1800000,PODKARPACKIE,2018,15-24,30.9
377,2000000,PODLASKIE,2018,15-24,34.8
378,2200000,POMORSKIE,2018,15-24,36.6
379,2400000,ŚLĄSKIE,2018,15-24,33.9
380,2600000,ŚWIĘTOKRZYSKIE,2018,15-24,34.7
381,2800000,WARMIŃSKO-MAZURSKIE,2018,15-24,33.3
382,3000000,WIELKOPOLSKIE,2018,15-24,39.1
383,3200000,ZACHODNIOPOMORSKIE,2018,15-24,35.9
384,200000,DOLNOŚLĄSKIE,2019,15-24,37.2
385,400000,KUJAWSKO-POMORSKIE,2019,15-24,37.4
386,600000,LUBELSKIE,2019,15-24,30.7
387,800000,LUBUSKIE,2019,15-24,31.2
388,1000000,ŁÓDZKIE,2019,15-24,34.5
389,1200000,MAŁOPOLSKIE,2019,15-24,36.3
390,1400000,MAZOWIECKIE,2019,15-24,35.5
391,1600000,OPOLSKIE,2019,15-24,36.5
392,1800000,PODKARPACKIE,2019,15-24,27.8
393,2000000,PODLASKIE,2019,15-24,31.5
394,2200000,POMORSKIE,2019,15-24,37.3
395,2400000,ŚLĄSKIE,2019,15-24,36.1
396,2600000,ŚWIĘTOKRZYSKIE,2019,15-24,30.4
397,2800000,WARMIŃSKO-MAZURSKIE,2019,15-24,30.6
398,3000000,WIELKOPOLSKIE,2019,15-24,41.8
399,3200000,ZACHODNIOPOMORSKIE,2019,15-24,30.5
400,200000,DOLNOŚLĄSKIE,2020,15-24,34.9
401,400000,KUJAWSKO-POMORSKIE,2020,15-24,32.5
402,600000,LUBELSKIE,2020,15-24,28.4
403,800000,LUBUSKIE,2020,15-24,29.3
404,1000000,ŁÓDZKIE,2020,15-24,33.0
405,1200000,MAŁOPOLSKIE,2020,15-24,31.5
406,1400000,MAZOWIECKIE,2020,15-24,33.0
407,1600000,OPOLSKIE,2020,15-24,33.3
408,1800000,PODKARPACKIE,2020,15-24,24.2
409,2000000,PODLASKIE,2020,15-24,30.0
410,2200000,POMORSKIE,2020,15-24,34.2
411,2400000,ŚLĄSKIE,2020,15-24,32.4
412,2600000,ŚWIĘTOKRZYSKIE,2020,15-24,30.4
413,2800000,WARMIŃSKO-MAZURSKIE,2020,15-24,26.3
414,3000000,WIELKOPOLSKIE,2020,15-24,36.4
415,3200000,ZACHODNIOPOMORSKIE,2020,15-24,28.0
416,200000,DOLNOŚLĄSKIE,2021,15-24,31.6
417,400000,KUJAWSKO-POMORSKIE,2021,15-24,30.9
418,600000,LUBELSKIE,2021,15-24,29.4
419,800000,LUBUSKIE,2021,15-24,27.5
420,1000000,ŁÓDZKIE,2021,15-24,33.2
421,1200000,MAŁOPOLSKIE,2021,15-24,27.5
422,1400000,MAZOWIECKIE,2021,15-24,33.9
423,1600000,OPOLSKIE,2021,15-24,33.7
424,1800000,PODKARPACKIE,2021,15-24,23.1
425,2000000,PODLASKIE,2021,15-24,26.9
426,2200000,POMORSKIE,2021,15-24,30.4
427,2400000,ŚLĄSKIE,2021,15-24,33.2
428,2600000,ŚWIĘTOKRZYSKIE,2021,15-24,28.2
429,2800000,WARMIŃSKO-MAZURSKIE,2021,15-24,25.0
430,3000000,WIELKOPOLSKIE,2021,15-24,41.9
431,3200000,ZACHODNIOPOMORSKIE,2021,15-24,26.5
432,200000,DOLNOŚLĄSKIE,2022,15-24,36.7
433,400000,KUJAWSKO-POMORSKIE,2022,15-24,30.7
434,600000,LUBELSKIE,2022,15-24,31.2
435,800000,LUBUSKIE,2022,15-24,26.4
436,1000000,ŁÓDZKIE,2022,15-24,35.8
437,1200000,MAŁOPOLSKIE,2022,15-24,29.1
438,1400000,MAZOWIECKIE,2022,15-24,33.1
439,1600000,OPOLSKIE,2022,15-24,29.6
440,1800000,PODKARPACKIE,2022,15-24,24.4
441,2000000,PODLASKIE,2022,15-24,29.2
442,2200000,POMORSKIE,2022,15-24,30.2
443,2400000,ŚLĄSKIE,2022,15-24,33.9
444,2600000,ŚWIĘTOKRZYSKIE,2022,15-24,28.4
445,2800000,WARMIŃSKO-MAZURSKIE,2022,15-24,26.0
446,3000000,WIELKOPOLSKIE,2022,15-24,37.2
447,3200000,ZACHODNIOPOMORSKIE,2022,15-24,27.6
448,200000,DOLNOŚLĄSKIE,2023,15-24,38.9
449,400000,KUJAWSKO-POMORSKIE,2023,15-24,27.9
450,600000,LUBELSKIE,2023,15-24,31.8
451,800000,LUBUSKIE,2023,15-24,27.2
452,1000000,ŁÓDZKIE,2023,15-24,39.5
453,1200000,MAŁOPOLSKIE,2023,15-24,29.9
454,1400000,MAZOWIECKIE,2023,15-24,32.5
455,1600000,OPOLSKIE,2023,15-24,34.6
456,1800000,PODKARPACKIE,2023,15-24,27.8
457,2000000,PODLASKIE,2023,15-24,24.5
458,2200000,POMORSKIE,2023,15-24,28.3
459,2400000,ŚLĄSKIE,2023,15-24,35.3
460,2600000,ŚWIĘTOKRZYSKIE,2023,15-24,26.9
461,2800000,WARMIŃSKO-MAZURSKIE,2023,15-24,27.5
462,3000000,WIELKOPOLSKIE,2023,15-24,37.7
463,3200000,ZACHODNIOPOMORSKIE,2023,15-24,31.5
464,200000,DOLNOŚLĄSKIE,2024,15-24,38.6
465,400000,KUJAWSKO-POMORSKIE,2024,15-24,35.6
466,600000,LUBELSKIE,2024,15-24,31.8
467,800000,LUBUSKIE,2024,15-24,31.2
468,1000000,ŁÓDZKIE,2024,15-24,33.8
469,1200000,MAŁOPOLSKIE,2024,15-24,32.5
470,1400000,MAZOWIECKIE,2024,15-24,34.3
471,1600000,OPOLSKIE,2024,15-24,30.9
472,1800000,PODKARPACKIE,2024,15-24,22.4
473,2000000,PODLASKIE,2024,15-24,25.5
474,2200000,POMORSKIE,2024,15-24,28.8
475,2400000,ŚLĄSKIE,2024,15-24,29.4
476,2600000,ŚWIĘTOKRZYSKIE,2024,15-24,30.3
477,2800000,WARMIŃSKO-MAZURSKIE,2024,15-24,28.6
478,3000000,WIELKOPOLSKIE,2024,15-24,34.7
479,3200000,ZACHODNIOPOMORSKIE,2024,15-24,32.0
480,200000,DOLNOŚLĄSKIE,2010,15-64,
481,400000,KUJAWSKO-POMORSKIE,2010,15-64,
482,600000,LUBELSKIE,2010,15-64,
483,800000,LUBUSKIE,2010,15-64,
484,1000000,ŁÓDZKIE,2010,15-64,
485,1200000,MAŁOPOLSKIE,2010,15-64,
486,1400000,MAZOWIECKIE,2010,15-64,
487,1600000,OPOLSKIE,2010,15-64,
488,1800000,PODKARPACKIE,2010,15-64,
489,2000000,PODLASKIE,2010,15-64,
490,2200000,POMORSKIE,2010,15-64,
491,2400000,ŚLĄSKIE,2010,15-64,
492,2600000,ŚWIĘTOKRZYSKIE,2010,15-64,
493,2800000,WARMIŃSKO-MAZURSKIE,2010,15-64,
494,3000000,WIELKOPOLSKIE,2010,15-64,
495,3200000,ZACHODNIOPOMORSKIE,2010,15-64,
496,200000,DOLNOŚLĄSKIE,2011,15-64,
