,code,voivodeship,year,sex,age,rate
61,2800000,WARMIŃSKO-MAZURSKIE,2013,total,total,
62,3000000,WIELKOPOLSKIE,2013,total,total,
63,3200000,ZACHODNIOPOMORSKIE,2013,total,total,
64,200000,DOLNOŚLĄSKIE,2014,total,total,
65,400000,KUJAWSKO-POMORSKIE,2014,total,total,
66,600000,LUBELSKIE,2014,total,total,
67,800000,LUBUSKIE,2014,total,total,
68,1000000,ŁÓDZKIE,2014,total,total,
69,1200000,MAŁOPOLSKIE,2014,total,total,
70,1400000,MAZOWIECKIE,2014,total,total,
71,1600000,OPOLSKIE,2014,total,total,
72,1800000,PODKARPACKIE,2014,total,total,
73,2000000,PODLASKIE,2014,total,total,
74,2200000,POMORSKIE,2014,total,total,
75,2400000,ŚLĄSKIE,2014,total,total,
76,2600000,ŚWIĘTOKRZYSKIE,2014,total,total,
77,2800000,WARMIŃSKO-MAZURSKIE,2014,total,total,
78,3000000,WIELKOPOLSKIE,2014,total,total,
79,3200000,ZACHODNIOPOMORSKIE,2014,total,total,
80,200000,DOLNOŚLĄSKIE,2015,total,total,
81,400000,KUJAWSKO-POMORSKIE,2015,total,total,
82,600000,LUBELSKIE,2015,total,total,
83,800000,LUBUSKIE,2015,total,total,
84,1000000,ŁÓDZKIE,2015,total,total,
85,1200000,MAŁOPOLSKIE,2015,total,total,
86,1400000,MAZOWIECKIE,2015,total,total,
87,1600000,OPOLSKIE,2015,total,total,
88,1800000,PODKARPACKIE,2015,total,total,
89,2000000,PODLASKIE,2015,total,total,
90,2200000,POMORSKIE,2015,total,total,
91,2400000,ŚLĄSKIE,2015,total,total,
92,2600000,ŚWIĘTOKRZYSKIE,2015,total,total,
93,2800000,WARMIŃSKO-MAZURSKIE,2015,total,total,
94,3000000,WIELKOPOLSKIE,2015,total,total,
95,3200000,ZACHODNIOPOMORSKIE,2015,total,total,
96,200000,DOLNOŚLĄSKIE,2016,total,total,
97,400000,KUJAWSKO-POMORSKIE,2016,total,total,
98,600000,LUBELSKIE,2016,total,total,
99,800000,LUBUSKIE,2016,total,total,
100,1000000,ŁÓDZKIE,2016,total,total,
101,1200000,MAŁOPOLSKIE,2016,total,total,
102,1400000,MAZOWIECKIE,2016,total,total,
103,1600000,OPOLSKIE,2016,total,total,
104,1800000,PODKARPACKIE,2016,total,total,
105,2000000,PODLASKIE,2016,total,total,
106,2200000,POMORSKIE,2016,total,total,
107,2400000,ŚLĄSKIE,2016,total,total,
108,2600000,ŚWIĘTOKRZYSKIE,2016,total,total,
109,2800000,WARMIŃSKO-MAZURSKIE,2016,total,total,
110,3000000,WIELKOPOLSKIE,2016,total,total,
111,3200000,ZACHODNIOPOMORSKIE,2016,total,total,
112,200000,DOLNOŚLĄSKIE,2017,total,total,
113,400000,KUJAWSKO-POMORSKIE,2017,total,total,
114,600000,LUBELSKIE,2017,total,total,
115,800000,LUBUSKIE,2017,total,total,
116,1000000,ŁÓDZKIE,2017,total,total,
117,1200000,MAŁOPOLSKIE,2017,total,total,
118,1400000,MAZOWIECKIE,2017,total,total,
119,1600000,OPOLSKIE,2017,total,total,
120,1800000,PODKARPACKIE,2017,total,total,
121,2000000,PODLASKIE,2017,total,total,
122,2200000,POMORSKIE,2017,total,total,
123,2400000,ŚLĄSKIE,2017,total,total,
124,2600000,ŚWIĘTOKRZYSKIE,2017,total,total,
125,2800000,WARMIŃSKO-MAZURSKIE,2017,total,total,
126,3000000,WIELKOPOLSKIE,2017,total,total,
127,3200000,ZACHODNIOPOMORSKIE,2017,total,total,
128,200000,DOLNOŚLĄSKIE,2018,total,total,
129,400000,KUJAWSKO-POMORSKIE,2018,total,total,
130,600000,LUBELSKIE,2018,total,total,
131,800000,LUBUSKIE,2018,total,total,
132,1000000,ŁÓDZKIE,2018,total,total,
133,1200000,MAŁOPOLSKIE,2018,total,total,
134,1400000,MAZOWIECKIE,2018,total,total,
135,1600000,OPOLSKIE,2018,total,total,
136,1800000,PODKARPACKIE,2018,total,total,
137,2000000,PODLASKIE,2018,total,total,
138,2200000,POMORSKIE,2018,total,total,
139,2400000,ŚLĄSKIE,2018,total,total,
140,2600000,ŚWIĘTOKRZYSKIE,2018,total,total,
141,2800000,WARMIŃSKO-MAZURSKIE,2018,total,total,
142,3000000,WIELKOPOLSKIE,2018,total,total,
143,3200000,ZACHODNIOPOMORSKIE,2018,total,total,
144,200000,DOLNOŚLĄSKIE,2019,total,total,56.6
145,400000,KUJAWSKO-POMORSKIE,2019,total,total,53.5
146,600000,LUBELSKIE,2019,total,total,50.4
147,800000,LUBUSKIE,2019,total,total,54.5
148,1000000,ŁÓDZKIE,2019,total,total,53.3
149,1200000,MAŁOPOLSKIE,2019,total,total,53.5
150,1400000,MAZOWIECKIE,2019,total,total,59.0
151,1600000,OPOLSKIE,2019,total,total,54.1
152,1800000,PODKARPACKIE,2019,total,total,48.6
153,2000000,PODLASKIE,2019,total,total,53.9
154,2200000,POMORSKIE,2019,total,total,58.1
155,2400000,ŚLĄSKIE,2019,total,total,52.2
156,2600000,ŚWIĘTOKRZYSKIE,2019,total,total,49.3
157,2800000,WARMIŃSKO-MAZURSKIE,2019,total,total,50.7
158,3000000,WIELKOPOLSKIE,2019,total,total,57.5
159,3200000,ZACHODNIOPOMORSKIE,2019,total,total,53.0
160,200000,DOLNOŚLĄSKIE,2020,total,total,56.4
161,400000,KUJAWSKO-POMORSKIE,2020,total,total,53.7
162,600000,LUBELSKIE,2020,total,total,50.8
163,800000,LUBUSKIE,2020,total,total,54.5
164,1000000,ŁÓDZKIE,2020,total,total,54.3
165,1200000,MAŁOPOLSKIE,2020,total,total,53.5
166,1400000,MAZOWIECKIE,2020,total,total,58.6
167,1600000,OPOLSKIE,2020,total,total,54.4
168,1800000,PODKARPACKIE,2020,total,total,49.3
169,2000000,PODLASKIE,2020,total,total,54.1
170,2200000,POMORSKIE,2020,total,total,57.4
171,2400000,ŚLĄSKIE,2020,total,total,51.9
172,2600000,ŚWIĘTOKRZYSKIE,2020,total,total,50.6
173,2800000,WARMIŃSKO-MAZURSKIE,2020,total,total,51.3
174,3000000,WIELKOPOLSKIE,2020,total,total,56.9
175,3200000,ZACHODNIOPOMORSKIE,2020,total,total,53.2
176,200000,DOLNOŚLĄSKIE,2021,total,total,57.0
177,400000,KUJAWSKO-POMORSKIE,2021,total,total,55.1
178,600000,LUBELSKIE,2021,total,total,53.4
179,800000,LUBUSKIE,2021,total,total,54.9
180,1000000,ŁÓDZKIE,2021,total,total,55.3
181,1200000,MAŁOPOLSKIE,2021,total,total,55.4
182,1400000,MAZOWIECKIE,2021,total,total,60.9
183,1600000,OPOLSKIE,2021,total,total,57.2
184,1800000,PODKARPACKIE,2021,total,total,50.3
185,2000000,PODLASKIE,2021,total,total,56.1
186,2200000,POMORSKIE,2021,total,total,58.7
187,2400000,ŚLĄSKIE,2021,total,total,54.1
188,2600000,ŚWIĘTOKRZYSKIE,2021,total,total,53.0
189,2800000,WARMIŃSKO-MAZURSKIE,2021,total,total,53.5
190,3000000,WIELKOPOLSKIE,2021,total,total,59.5
191,3200000,ZACHODNIOPOMORSKIE,2021,total,total,54.0
192,200000,DOLNOŚLĄSKIE,2022,total,total,57.2
193,400000,KUJAWSKO-POMORSKIE,2022,total,total,56.1
194,600000,LUBELSKIE,2022,total,total,54.4
195,800000,LUBUSKIE,2022,total,total,55.8
196,1000000,ŁÓDZKIE,2022,total,total,57.1
197,1200000,MAŁOPOLSKIE,2022,total,total,55.6
198,1400000,MAZOWIECKIE,2022,total,total,61.4
199,1600000,OPOLSKIE,2022,total,total,56.1
200,1800000,PODKARPACKIE,2022,total,total,50.2
201,2000000,PODLASKIE,2022,total,total,57.1
202,2200000,POMORSKIE,2022,total,total,59.3
203,2400000,ŚLĄSKIE,2022,total,total,54.7
204,2600000,ŚWIĘTOKRZYSKIE,2022,total,total,53.9
205,2800000,WARMIŃSKO-MAZURSKIE,2022,total,total,53.7
206,3000000,WIELKOPOLSKIE,2022,total,total,59.3
207,3200000,ZACHODNIOPOMORSKIE,2022,total,total,55.5
208,200000,DOLNOŚLĄSKIE,2023,total,total,58.2
209,400000,KUJAWSKO-POMORSKIE,2023,total,total,55.9
210,600000,LUBELSKIE,2023,total,total,54.3
211,800000,LUBUSKIE,2023,total,total,56.7
212,1000000,ŁÓDZKIE,2023,total,total,56.1
213,1200000,MAŁOPOLSKIE,2023,total,total,56.2
214,1400000,MAZOWIECKIE,2023,total,total,62.0
215,1600000,OPOLSKIE,2023,total,total,55.9
216,1800000,PODKARPACKIE,2023,total,total,51.4
217,2000000,PODLASKIE,2023,total,total,57.1
218,2200000,POMORSKIE,2023,total,total,59.4
219,2400000,ŚLĄSKIE,2023,total,total,55.2
220,2600000,ŚWIĘTOKRZYSKIE,2023,total,total,53.2
221,2800000,WARMIŃSKO-MAZURSKIE,2023,total,total,53.8
222,3000000,WIELKOPOLSKIE,2023,total,total,58.8
223,3200000,ZACHODNIOPOMORSKIE,2023,total,total,56.0
224,200000,DOLNOŚLĄSKIE,2024,total,total,58.2
225,400000,KUJAWSKO-POMORSKIE,2024,total,total,56.2
226,600000,LUBELSKIE,2024,total,total,54.5
227,800000,LUBUSKIE,2024,total,total,55.6
228,1000000,ŁÓDZKIE,2024,total,total,55.0
229,1200000,MAŁOPOLSKIE,2024,total,total,56.9
230,1400000,MAZOWIECKIE,2024,total,total,61.9
231,1600000,OPOLSKIE,2024,total,total,56.2
232,1800000,PODKARPACKIE,2024,total,total,51.2
233,2000000,PODLASKIE,2024,total,total,55.5
234,2200000,POMORSKIE,2024,total,total,59.2
235,2400000,ŚLĄSKIE,2024,total,total,54.6
236,2600000,ŚWIĘTOKRZYSKIE,2024,total,total,52.8
237,2800000,WARMIŃSKO-MAZURSKIE,2024,total,total,53.6
238,3000000,WIELKOPOLSKIE,2024,total,total,58.5
239,3200000,ZACHODNIOPOMORSKIE,2024,total,total,55.5
240,200000,DOLNOŚLĄSKIE,2010,males,total,
241,400000,KUJAWSKO-POMORSKIE,2010,males,total,
242,600000,LUBELSKIE,2010,males,total,
243,800000,LUBUSKIE,2010,males,total,
244,1000000,ŁÓDZKIE,2010,males,total,
245,1200000,MAŁOPOLSKIE,2010,males,total,
246,1400000,MAZOWIECKIE,2010,males,total,
247,1600000,OPOLSKIE,2010,males,total,
248,1800000,PODKARPACKIE,2010,males,total,
249,2000000,PODLASKIE,2010,males,total,
250,2200000,POMORSKIE,2010,males,total,
251,2400000,ŚLĄSKIE,2010,males,total,
252,2600000,ŚWIĘTOKRZYSKIE,2010,males,total,
253,2800000,WARMIŃSKO-MAZURSKIE,2010,males,total,
254,3000000,WIELKOPOLSKIE,2010,males,total,
255,3200000,ZACHODNIOPOMORSKIE,2010,males,total,
256,200000,DOLNOŚLĄSKIE,2011,males,total,
257,400000,KUJAWSKO-POMORSKIE,2011,males,total,
258,600000,LUBELSKIE,2011,males,total,
259,800000,LUBUSKIE,2011,males,total,
260,1000000,ŁÓDZKIE,2011,males,total,
261,1200000,MAŁOPOLSKIE,2011,males,total,
262,1400000,MAZOWIECKIE,2011,males,total,
263,1600000,OPOLSKIE,2011,males,total,
264,1800000,PODKARPACKIE,2011,males,total,
265,2000000,PODLASKIE,2011,males,total,
266,2200000,POMORSKIE,2011,males,total,
267,2400000,ŚLĄSKIE,2011,males,total,
268,2600000,ŚWIĘTOKRZYSKIE,2011,males,total,
269,2800000,WARMIŃSKO-MAZURSKIE,2011,males,total,
270,3000000,WIELKOPOLSKIE,2011,males,total,
271,3200000,ZACHODNIOPOMORSKIE,2011,males,total,
272,200000,DOLNOŚLĄSKIE,2012,males,total,
273,400000,KUJAWSKO-POMORSKIE,2012,males,total,
274,600000,LUBELSKIE,2012,males,total,
275,800000,LUBUSKIE,2012,males,total,
276,1000000,ŁÓDZKIE,2012,males,total,
277,1200000,MAŁOPOLSKIE,2012,males,total,
278,1400000,MAZOWIECKIE,2012,males,total,
279,1600000,OPOLSKIE,2012,males,total,
280,1800000,PODKARPACKIE,2012,males,total,
281,2000000,PODLASKIE,2012,males,total,
282,2200000,POMORSKIE,2012,males,total,
283,2400000,ŚLĄSKIE,2012,males,total,
284,2600000,ŚWIĘTOKRZYSKIE,2012,males,total,
285,2800000,WARMIŃSKO-MAZURSKIE,2012,males,total,
286,3000000,WIELKOPOLSKIE,2012,males,total,
287,3200000,ZACHODNIOPOMORSKIE,2012,males,total,
288,200000,DOLNOŚLĄSKIE,2013,males,total,
289,400000,KUJAWSKO-POMORSKIE,2013,males,total,
290,600000,LUBELSKIE,2013,males,total,
291,800000,LUBUSKIE,2013,males,total,
292,1000000,ŁÓDZKIE,2013,males,total,
293,1200000,MAŁOPOLSKIE,2013,males,total,
294,1400000,MAZOWIECKIE,2013,males,total,
295,1600000,OPOLSKIE,2013,males,total,
296,1800000,PODKARPACKIE,2013,males,total,
297,2000000,PODLASKIE,2013,males,total,
298,2200000,POMORSKIE,2013,males,total,
299,2400000,ŚLĄSKIE,2013,males,total,
300,2600000,ŚWIĘTOKRZYSKIE,2013,males,total,
301,2800000,WARMIŃSKO-MAZURSKIE,2013,males,total,
302,3000000,WIELKOPOLSKIE,2013,males,total,
303,3200000,ZACHODNIOPOMORSKIE,2013,males,total,
304,200000,DOLNOŚLĄSKIE,2014,males,total,
305,400000,KUJAWSKO-POMORSKIE,2014,males,total,
306,600000,LUBELSKIE,2014,males,total,
307,800000,LUBUSKIE,2014,males,total,
308,1000000,ŁÓDZKIE,2014,males,total,
309,1200000,MAŁOPOLSKIE,2014,males,total,
310,1400000,MAZOWIECKIE,2014,males,total,
311,1600000,OPOLSKIE,2014,males,total,
312,1800000,PODKARPACKIE,2014,males,total,
313,2000000,PODLASKIE,2014,males,total,
314,2200000,POMORSKIE,2014,males,total,
315,2400000,ŚLĄSKIE,2014,males,total,
316,2600000,ŚWIĘTOKRZYSKIE,2014,males,total,
317,2800000,WARMIŃSKO-MAZURSKIE,2014,males,total,
318,3000000,WIELKOPOLSKIE,2014,males,total,
319,3200000,ZACHODNIOPOMORSKIE,2014,males,total,
320,200000,DOLNOŚLĄSKIE,2015,males,total,
321,400000,KUJAWSKO-POMORSKIE,2015,males,total,
322,600000,LUBELSKIE,2015,males,total,
323,800000,LUBUSKIE,2015,males,total,
324,1000000,ŁÓDZKIE,2015,males,total,
325,1200000,MAŁOPOLSKIE,2015,males,total,
326,1400000,MAZOWIECKIE,2015,males,total,
327,1600000,OPOLSKIE,2015,males,total,
328,1800000,PODKARPACKIE,2015,males,total,
329,2000000,PODLASKIE,2015,males,total,
330,2200000,POMORSKIE,2015,males,total,
331,2400000,ŚLĄSKIE,2015,males,total,
332,2600000,ŚWIĘTOKRZYSKIE,2015,males,total,
333,2800000,WARMIŃSKO-MAZURSKIE,2015,males,total,
334,3000000,WIELKOPOLSKIE,2015,males,total,
335,3200000,ZACHODNIOPOMORSKIE,2015,males,total,
336,200000,DOLNOŚLĄSKIE,2016,males,total,
337,400000,KUJAWSKO-POMORSKIE,2016,males,total,
338,600000,LUBELSKIE,2016,males,total,
339,800000,LUBUSKIE,2016,males,total,
340,1000000,ŁÓDZKIE,2016,males,total,
341,1200000,MAŁOPOLSKIE,2016,males,total,
342,1400000,MAZOWIECKIE,2016,males,total,
343,1600000,OPOLSKIE,2016,males,total,
344,1800000,PODKARPACKIE,2016,males,total,
345,2000000,PODLASKIE,2016,males,total,
346,2200000,POMORSKIE,2016,males,total,
347,2400000,ŚLĄSKIE,2016,males,total,
348,2600000,ŚWIĘTOKRZYSKIE,2016,males,total,
349,2800000,WARMIŃSKO-MAZURSKIE,2016,males,total,
350,3000000,WIELKOPOLSKIE,2016,males,total,
351,3200000,ZACHODNIOPOMORSKIE,2016,males,total,
352,200000,DOLNOŚLĄSKIE,2017,males,total,
353,400000,KUJAWSKO-POMORSKIE,2017,males,total,
354,600000,LUBELSKIE,2017,males,total,
355,800000,LUBUSKIE,2017,males,total,
356,1000000,ŁÓDZKIE,2017,males,total,
357,1200000,MAŁOPOLSKIE,2017,males,total,
358,1400000,MAZOWIECKIE,2017,males,total,
359,1600000,OPOLSKIE,2017,males,total,
360,1800000,PODKARPACKIE,2017,males,total,
361,2000000,PODLASKIE,2017,males,total,
362,2200000,POMORSKIE,2017,males,total,
363,2400000,ŚLĄSKIE,2017,males,total,
364,2600000,ŚWIĘTOKRZYSKIE,2017,males,total,
365,2800000,WARMIŃSKO-MAZURSKIE,2017,males,total,
366,3000000,WIELKOPOLSKIE,2017,males,total,
367,3200000,ZACHODNIOPOMORSKIE,2017,males,total,
368,200000,DOLNOŚLĄSKIE,2018,males,total,
369,400000,KUJAWSKO-POMORSKIE,2018,males,total,
370,600000,LUBELSKIE,2018,males,total,
371,800000,LUBUSKIE,2018,males,total,
372,1000000,ŁÓDZKIE,2018,males,total,
373,1200000,MAŁOPOLSKIE,2018,males,total,
374,1400000,MAZOWIECKIE,2018,males,total,
375,1600000,OPOLSKIE,2018,males,total,
376,1800000,PODKARPACKIE,2018,males,total,
377,2000000,PODLASKIE,2018,males,total,
378,2200000,POMORSKIE,2018,males,total,
379,2400000,ŚLĄSKIE,2018,males,total,
380,2600000,ŚWIĘTOKRZYSKIE,2018,males,total,
381,2800000,WARMIŃSKO-MAZURSKIE,2018,males,total,
382,3000000,WIELKOPOLSKIE,2018,males,total,
383,3200000,ZACHODNIOPOMORSKIE,2018,males,total,
384,200000,DOLNOŚLĄSKIE,2019,males,total,64.2
385,400000,KUJAWSKO-POMORSKIE,2019,males,total,62.8
386,600000,LUBELSKIE,2019,males,total,58.0
387,800000,LUBUSKIE,2019,males,total,63.3
388,1000000,ŁÓDZKIE,2019,males,total,61.9
389,1200000,MAŁOPOLSKIE,2019,males,total,61.7
390,1400000,MAZOWIECKIE,2019,males,total,66.1
391,1600000,OPOLSKIE,2019,males,total,64.2
392,1800000,PODKARPACKIE,2019,males,total,57.3
393,2000000,PODLASKIE,2019,males,total,62.0
394,2200000,POMORSKIE,2019,males,total,67.1
395,2400000,ŚLĄSKIE,2019,males,total,59.8
396,2600000,ŚWIĘTOKRZYSKIE,2019,males,total,57.0
397,2800000,WARMIŃSKO-MAZURSKIE,2019,males,total,59.7
398,3000000,WIELKOPOLSKIE,2019,males,total,66.9
399,3200000,ZACHODNIOPOMORSKIE,2019,males,total,61.3
400,200000,DOLNOŚLĄSKIE,2020,males,total,63.6
401,400000,KUJAWSKO-POMORSKIE,2020,males,total,62.7
402,600000,LUBELSKIE,2020,males,total,58.2
403,800000,LUBUSKIE,2020,males,total,63.6
404,1000000,ŁÓDZKIE,2020,males,total,63.0
405,1200000,MAŁOPOLSKIE,2020,males,total,62.1
406,1400000,MAZOWIECKIE,2020,males,total,65.9
407,1600000,OPOLSKIE,2020,males,total,64.3
408,1800000,PODKARPACKIE,2020,males,total,58.1
409,2000000,PODLASKIE,2020,males,total,61.9
410,2200000,POMORSKIE,2020,males,total,66.8
411,2400000,ŚLĄSKIE,2020,males,total,59.3
412,2600000,ŚWIĘTOKRZYSKIE,2020,males,total,58.9
413,2800000,WARMIŃSKO-MAZURSKIE,2020,males,total,59.8
414,3000000,WIELKOPOLSKIE,2020,males,total,66.9
415,3200000,ZACHODNIOPOMORSKIE,2020,males,total,60.9
416,200000,DOLNOŚLĄSKIE,2021,males,total,64.7
417,400000,KUJAWSKO-POMORSKIE,2021,males,total,63.5
418,600000,LUBELSKIE,2021,males,total,61.0
419,800000,LUBUSKIE,2021,males,total,63.3
420,1000000,ŁÓDZKIE,2021,males,total,63.4
421,1200000,MAŁOPOLSKIE,2021,males,total,63.3
422,1400000,MAZOWIECKIE,2021,males,total,67.9
423,1600000,OPOLSKIE,2021,males,total,66.4
424,1800000,PODKARPACKIE,2021,males,total,60.1
425,2000000,PODLASKIE,2021,males,total,63.4
426,2200000,POMORSKIE,2021,males,total,67.2
427,2400000,ŚLĄSKIE,2021,males,total,61.3
428,2600000,ŚWIĘTOKRZYSKIE,2021,males,total,61.3
429,2800000,WARMIŃSKO-MAZURSKIE,2021,males,total,61.8
430,3000000,WIELKOPOLSKIE,2021,males,total,68.7
431,3200000,ZACHODNIOPOMORSKIE,2021,males,total,61.0
432,200000,DOLNOŚLĄSKIE,2022,males,total,65.5
433,400000,KUJAWSKO-POMORSKIE,2022,males,total,63.6
434,600000,LUBELSKIE,2022,males,total,61.7
435,800000,LUBUSKIE,2022,males,total,65.1
436,1000000,ŁÓDZKIE,2022,males,total,65.3
437,1200000,MAŁOPOLSKIE,2022,males,total,63.6
438,1400000,MAZOWIECKIE,2022,males,total,68.1
439,1600000,OPOLSKIE,2022,males,total,64.4
440,1800000,PODKARPACKIE,2022,males,total,58.4
441,2000000,PODLASKIE,2022,males,total,64.3
442,2200000,POMORSKIE,2022,males,total,66.8
443,2400000,ŚLĄSKIE,2022,males,total,62.2
444,2600000,ŚWIĘTOKRZYSKIE,2022,males,total,61.7
445,2800000,WARMIŃSKO-MAZURSKIE,2022,males,total,62.1
446,3000000,WIELKOPOLSKIE,2022,males,total,67.3
447,3200000,ZACHODNIOPOMORSKIE,2022,males,total,62.6
448,200000,DOLNOŚLĄSKIE,2023,males,total,65.1
449,400000,KUJAWSKO-POMORSKIE,2023,males,total,63.2
450,600000,LUBELSKIE,2023,males,total,61.5
451,800000,LUBUSKIE,2023,males,total,65.5
452,1000000,ŁÓDZKIE,2023,males,total,64.1
453,1200000,MAŁOPOLSKIE,2023,males,total,62.7
454,1400000,MAZOWIECKIE,2023,males,total,67.9
455,1600000,OPOLSKIE,2023,males,total,63.6
456,1800000,PODKARPACKIE,2023,males,total,58.8
457,2000000,PODLASKIE,2023,males,total,64.8
458,2200000,POMORSKIE,2023,males,total,66.7
459,2400000,ŚLĄSKIE,2023,males,total,62.5
460,2600000,ŚWIĘTOKRZYSKIE,2023,males,total,60.4
461,2800000,WARMIŃSKO-MAZURSKIE,2023,males,total,61.3
462,3000000,WIELKOPOLSKIE,2023,males,total,68.1
463,3200000,ZACHODNIOPOMORSKIE,2023,males,total,63.7
464,200000,DOLNOŚLĄSKIE,2024,males,total,65.2
465,400000,KUJAWSKO-POMORSKIE,2024,males,total,64.2
466,600000,LUBELSKIE,2024,males,total,61.4
467,800000,LUBUSKIE,2024,males,total,64.2
468,1000000,ŁÓDZKIE,2024,males,total,62.5
469,1200000,MAŁOPOLSKIE,2024,males,total,63.0
470,1400000,MAZOWIECKIE,2024,males,total,67.8
471,1600000,OPOLSKIE,2024,males,total,64.5
472,1800000,PODKARPACKIE,2024,males,total,59.0
473,2000000,PODLASKIE,2024,males,total,63.4
474,2200000,POMORSKIE,2024,males,total,65.8
475,2400000,ŚLĄSKIE,2024,males,total,61.7
476,2600000,ŚWIĘTOKRZYSKIE,2024,males,total,59.3
477,2800000,WARMIŃSKO-MAZURSKIE,2024,males,total,60.7
478,3000000,WIELKOPOLSKIE,2024,males,total,66.7
479,3200000,ZACHODNIOPOMORSKIE,2024,males,total,63.7
480,200000,DOLNOŚLĄSKIE,2010,females,total,
481,400000,KUJAWSKO-POMORSKIE,2010,females,total,
482,600000,LUBELSKIE,2010,females,total,
483,800000,LUBUSKIE,2010,females,total,
484,1000000,ŁÓDZKIE,2010,females,total,
485,1200000,MAŁOPOLSKIE,2010,females,total,
486,1400000,MAZOWIECKIE,2010,females,total,
487,1600000,OPOLSKIE,2010,females,total,
488,1800000,PODKARPACKIE,2010,females,total,
489,2000000,PODLASKIE,2010,females,total,
490,2200000,POMORSKIE,2010,females,total,
491,2400000,ŚLĄSKIE,2010,females,total,
492,2600000,ŚWIĘTOKRZYSKIE,2010,females,total,
493,2800000,WARMIŃSKO-MAZURSKIE,2010,females,total,
494,3000000,WIELKOPOLSKIE,2010,females,total,
495,3200000,ZACHODNIOPOMORSKIE,2010,females,total,
496,200000,DOLNOŚLĄSKIE,2011,females,total,
497,400000,KUJAWSKO-POMORSKIE,2011,females,total,
498,600000,LUBELSKIE,2011,females,total,
499,800000,LUBUSKIE,2011,females,total,
500,1000000,ŁÓDZKIE,2011,females,total,
501,1200000,MAŁOPOLSKIE,2011,females,total,
502,1400000,MAZOWIECKIE,2011,females,total,
503,1600000,OPOLSKIE,2011,females,total,
504,1800000,PODKARPACKIE,2011,females,total,
505,2000000,PODLASKIE,2011,females,total,
506,2200000,POMORSKIE,2011,females,total,
507,2400000,ŚLĄSKIE,2011,females,total,
508,2600000,ŚWIĘTOKRZYSKIE,2011,females,total,
509,2800000,WARMIŃSKO-MAZURSKIE,2011,females,total,
510,3000000,WIELKOPOLSKIE,2011,females,total,
511,3200000,ZACHODNIOPOMORSKIE,2011,females,total,
